판매소명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,사업자등록번호,대형폐기물스티커판매여부,영업상태명,전화번호,지정일자,폐업일자,관리기관명,데이터기준일자
빅세일마트 동국점,부산광역시,해운대구,"부산광역시 해운대구 재송2로 91 (재송동, 센텀동국아파트) 빅세일마트동국점",부산광역시 해운대구 재송동 1182-1 센텀동국아파트,,,874-74-00095,N,영업,051-782-6442,2016-07-12,,부산광역시 해운대구,2026-01-09
(재)아름다운가게 해운대점,부산광역시,해운대구,"부산광역시 해운대구 해운대로 637, 현대빌딩1층",부산광역시 해운대구 우동 553-4,,,617-82-08960,N,영업,051-747-8701,2021-04-29,,부산광역시 해운대구,2026-01-09
(주)만복유통 반송지점,부산광역시,해운대구,부산광역시 해운대구 윗반송로35번길 68 (반송동) 농심가 윗반송점,부산광역시 해운대구 반송동 40-808,,,674-85-00905,N,영업,051-543-3358,2018-12-17,,부산광역시 해운대구,2026-01-09
(주)미진유통,부산광역시,해운대구,부산광역시 해운대구 재반로 176,부산광역시 해운대구 재송동 1150-7,,,000-00-00000,N,영업,051-782-2270,2017-05-16,,부산광역시 해운대구,2026-01-09
(주)부민두배로마트,부산광역시,해운대구,부산광역시 해운대구 해운대로594번길 5(우1동),부산광역시 해운대구 우동 639-9,,,102-15-52297,N,영업,051-747-9087,2020-06-18,,부산광역시 해운대구,2026-01-09
(주)서원유통 탑마트 반여점,부산광역시,해운대구,부산광역시 해운대구 선수촌로119,부산광역시 해운대구 반여동 1217-5,,,164-85-00238,N,영업,051-525-0422,2017-05-16,,부산광역시 해운대구,2026-01-09
(주)서원유통탑마트 반송점,부산광역시,해운대구,부산광역시 해운대구 윗반송로8,부산광역시 해운대구 반송동 278-1 반송동탑마트,,,116-85-09827,N,영업,051-545-3217,2017-05-16,,부산광역시 해운대구,2026-01-09
(주)서원유통탑마트 해운대점,부산광역시,해운대구,부산광역시 해운대구 중동2로 12(중동),부산광역시 해운대구 중동 1372-6,,,000-00-00000,N,영업,051-704-9009,2017-05-16,,부산광역시 해운대구,2026-01-09
(주)신세계 센텀시티점,부산광역시,해운대구,부산광역시 해운대구 센텀남대로 35,부산광역시 해운대구 우동 1495,,,201-81-32195,N,영업,051-745-1041,2018-10-15,,부산광역시 해운대구,2026-01-09
(주)에이치에스엠쉬핑 센텀25,부산광역시,해운대구,부산광역시 해운대구 센텀중앙로 97 (재송동) A동 C-104호,부산광역시 해운대구 재송동 1208-2 센텀스카이비즈,,,605-81-97105,N,영업,000-000-0000,2025-12-04,,부산광역시 해운대구,2026-01-09
(주)이마트에브리데이부산반여점,부산광역시,해운대구,부산광역시 해운대구 선수촌로 65-7 (반여동) 외3필지,부산광역시 해운대구 반여동 1440-11,,,206-86-50913,N,영업,000-000-0000,2024-02-14,,부산광역시 해운대구,2026-01-09
(주)이마트해운대점,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 511 (중동) 이마트해운대점,부산광역시 해운대구 중동 1767 이마트해운대점,,,206-86-50913,N,영업,051-608-1054,2017-05-16,,부산광역시 해운대구,2026-01-09
(주)코리아세븐 부산반송그린점,부산광역시,해운대구,"부산광역시 해운대구 신반송로 102 (반송동, 삼한그린타운2차) 상가 제213동 지하101,102,103호",부산광역시 해운대구 반송동 872 삼한그린타운2차,,,450-85-00629,N,영업,000-000-0000,2018-03-07,,부산광역시 해운대구,2026-01-09
(주)코리아세븐 부산반여센텀점,부산광역시,해운대구,"부산광역시 해운대구 선수촌로 95 (반여동, 센텀대림아파트) 제상가13동 제1층 101,102,103호",부산광역시 해운대구 반여동 1199-11 센텀대림아파트,,,428-85-02197,N,영업,051-513-4834,2023-03-27,,부산광역시 해운대구,2026-01-09
(주)코리아세븐 부산반여양지점,부산광역시,해운대구,부산광역시 해운대구 재반로256번길 29-13 (반여동) 1층 전체,부산광역시 해운대구 반여동 1592-13,,,395-85-02145,N,영업,051-513-4850,2023-03-22,,부산광역시 해운대구,2026-01-09
